,1,2,3,4,5,6,7,8,9,10,11,12
V25,4.971444932,22.08994936,5.194576521,25.75983583,4.621884039,27.98288534,28.22463485,37.36518911,2.146720088,13.24291255,27.97728474,5.799847939
V26,19.25494448,12.50228144,1.014587437,1.840450633,7.406707253,21.1555336,6.959266147,15.00499083,2.906980909,5.018822379,2.335313889,5.934824122
V27,12.03462739,24.1452545,9.658999678,5.033680138,5.204877734,19.73429173,9.389807028,9.909348132,12.20219025,5.861304073,4.676409028,14.86708612
V28,10.40481304,70.68066089,4.818270967,19.68429112,15.08170155,4.827859225,189.1613171,3.470663821,7.653556159,2.570454167,1850.036948,399.4051107
V29,1.176518904,32.71642745,2.434995048,7.191170303,9.323357292,16.04130276,8.043153514,19.43397471,4.42445906,29.02688477,9.923157574,9.535183114
V30,446.6799844,18.96513612,9.056524312,13.01559319,2.706406854,38.36995473,2.849869191,11.29566029,28.99559216,43.88168295,57.80484152,4.45563608
V31,11.30252912,39.70993224,30.2968898,21.85621119,160.2806999,33.92900611,5.695991206,80.04455102,35.15519021,18.73491406,29.44943662,37.64398045
V32,25.40883863,45.48420253,32.84345228,19.3531192,68.75808474,45.84262836,10.74769848,44.22102515,52.90570215,21.74993149,3.088844638,8.626908491
V33,6.190734433,13.26119003,1.309422587,7.890307713,0.759718298,8.373269471,7.291806612,1.524290361,1.990661411,7.674915395,15.10531412,2.665956207
V34,40.01744845,12.95630797,602.5591321,4.782931003,340.9891581,20.24345318,3.108601101,20.84471937,411.0839693,3.497554072,31.69408122,5.42053144
V35,6.112733198,22.17349806,3.86135066,17.5815955,1.849903649,16.93691102,28.19390593,6.229186696,10.21726388,19.80342951,3.258155164,6.845691508
V36,6.842206629,18.00573756,0.847837091,0.564793914,3.217053087,22.1040258,3.68248602,26.35218699,0.940931257,3.84649408,4.072669298,5.220476406
V37,7.138514952,22.88910749,3.1190994,3.718482588,7.900773706,30.18050584,46.52595772,40.98213937,8.865215765,24.17398045,10.75467908,2.987056276
V38,192.6898972,13.17429046,813.4495549,2.677185883,524.5720778,5.186377919,53.27091415,46.64243367,408.9080801,6.474597245,24.20776408,12.89025701
V39,1.062249528,22.43416403,1.508204194,9.332349238,16.18256797,21.52690116,2.682289869,13.10151352,12.85959284,32.05013164,20.25977237,8.03889376
V40,4.185841096,24.32695354,2.370739824,5.5436992,5.257851778,7.580440164,34.01269061,5.637603835,2.178706483,19.85810726,9.846874943,7.916552095
V41,17.69713257,26.86067162,5.521331343,10.65250528,0.611637256,13.45880402,6.186528365,13.08799561,4.382289632,17.41509151,4.624766965,19.33653758
V42,1.723245338,9.81872199,8.420507028,13.62486029,11.54719206,16.30546596,3.612985305,13.42904977,3.036982674,11.92830086,14.26331045,9.752247622
V43,24.29211363,15.9960121,1.36763232,6.116992454,5.014919446,14.74425975,9.811558419,4.956214016,2.290875226,15.28367451,5.745911978,7.763118294
V44,25.34427098,25.26720833,17.07323767,9.279735874,49.89778241,23.41368047,23.57118232,4.76636597,3.812379572,27.16294623,9.276441826,5.930435672
V45,90.04366777,27.82440732,6.960508562,9.413478751,11.42643001,40.37319729,11.71402723,44.97687457,40.06685621,38.69745233,3.056450975,11.81974967
V46,11.79990373,17.84879725,1.107970662,2.256835953,0.444288365,10.90205148,8.457041678,5.32455872,4.20831305,13.69933043,9.495596053,7.534901889
V47,7.568748515,15.93672912,2.136769202,3.033677308,1.235076548,2.845822043,25.29682115,1.363403531,0.841113246,8.811731657,5.175049839,5.587489056
V48,7.914971731,13.62035693,6.040510922,29.43899817,1.796319709,41.3669872,58.25937924,155.1370722,12.81200705,2.985992864,17.27604456,22.53346619
