,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96
V11,0.006947375,0.009542651,0.001347911,0.006855297,0.006493736,0.012829973,0.010376896,0.026247704,0.001141091,0.01333498,0.001106047,0.010827099,0.009925794,0.005806665,0.002445061,0.033418256,0.006391497,0.006412139,0.001299101,0.012034877,0.000737857,0.00036866,0.000477687,0.000460083,0.003711655,0.007425408,0.000714269,0.007404923,0.000629621,0.001361679,0.000270242,0.003246112,0.003319389,0.01629175,0.010971867,0.012123972,0.003701822,0.013189197,0.008491205,0.006698079,0.00081102,0.064582257,0.110673655,0.018497445,0.001940964,0.024498952,0.00417418,0.024161542,0.038660995,0.024547751,0.003123552,0.110337964,0.005928497,0.009804169,0.009730995,0.007487847,0.007142236,0.013727338,0.01266344,0.01295476,0.070089605,0.007852173,0.005238969,0.043235235,0.277832923,0.09442403,0.24089795,0.14027983,0.185411936,0.088687323,0.263273743,0.145276523,0.384042188,0.127406355,0.244805688,0.273105983,0.247695279,0.150578725,0.135846333,0.250898039,0.013371435,0.015431177,0.010566157,0.0201619,0.010130071,0.030231514,0.039085429,0.018483222,0.00455501,0.006343157,0.004634546,0.017655796,0.003533098,0.008971235,0.020016327,0.044140052
V12,0.004511363,0.0038458,0.000262686,0.002767295,0.003003307,0.002109607,0.000379715,0.002309858,0.003417155,0.001470034,0.000761645,0.00321237,0.00505972,0.002528822,0.001074369,0.012455356,0.00480072,0.003204111,0.001062237,0.008305103,0.003121991,0.001081771,0.000234711,0.003883995,0.001029208,0.003569375,0.000233536,0.002698694,0.00240069,0.004679108,0.000682644,0.011974297,0.003165781,0.001385222,0.001551565,0.003671945,0.005285885,0.00253674,0.001864342,0.003812947,0.001887163,0.003125929,0.001870283,0.004166889,0.011900154,0.009207809,0.005771982,0.012600201,0.00268948,0.002089774,0.001562185,0.005968287,0.00177852,0.006929923,0.003196851,0.018818644,0.000755901,0.001704228,0.000764947,0.003268259,0.006861599,0.001974696,0.001466431,0.009320385,0.005732028,0.002195025,0.002788465,0.007965586,0.004237143,0.011154323,0.009199182,0.05544009,0.001590049,0.002485328,0.002941721,0.006981646,0.003280528,0.004717404,0.002990571,0.009166207,0.003298007,0.005148018,0.002526326,0.050839756,0.004911014,0.037980851,0.016230077,0.399647602,0.002129354,0.008213382,0.004011685,0.07674561,0.007657352,0.010837721,0.005769517,0.107403494
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
