,1,2,3,4,5,6,7,8,9,10,11,12
V56,3.942202952,6.77389732,22.68679369,6.896716688,26.31480141,25.21423008,10.89347201,24.90900566,15.25340662,1.970519041,12.17609562,4.343244934
V57,16.53919592,200.9851022,10.73060291,51.01507803,18.02236506,15.02168778,8.574913021,27.87943983,2.472152007,6.275571682,19.10086551,5.981206628
V58,229.5652004,945.0195599,55.70528487,242.5725567,131.6553145,56.86979566,123.6740759,56.66933909,2.572782902,4.866598567,18.52945923,35.18533367
V59,13.91070413,2.387537626,23.0627021,4.506731711,2.883230769,13.27640947,29.00648495,16.26194546,5.712456688,24.24510543,9.816550801,5.56714032
V60,11.03605002,14.99507582,8.45229402,3.793227683,12.93115952,13.50604262,5.573723211,46.89475547,4.148124511,5.428518382,1.988782945,14.82736717
V61,206.6741965,85.10242767,26.13672726,23.02795613,17.66078669,7.085831919,17.21708368,19.27821901,106.7949097,5.759702684,17.1636486,5.111816327
V62,56.4477775,1.243006558,27.4282695,6.807003709,3.511231238,14.57610281,2.723213889,9.239552016,34.85422183,6.106123059,19.2369739,13.94226277
V63,6.805516881,0.853633897,19.78542943,0.717373664,10.09954437,12.34949106,31.78536057,10.40348841,8.374405692,3.452062423,7.358726255,14.69473706
V64,39.87471682,15.05389189,17.1535705,13.67561418,8.358647252,9.7098848,25.30798489,41.76697985,22.88730603,7.407931312,5.296961845,6.06644732
V65,528.0329399,18.27674237,2.757953043,16.4214586,85.74185164,33.85746116,16.11441793,21.7248315,93.06854972,59.94693311,47.93355038,30.62794635
V66,208.563822,215.4896601,1.35154747,0.786478272,177.8092866,13.42060636,2.636009993,3.516800121,305.8688431,89.95715474,1.06856643,3.10150014
V67,465.7740527,78.65424075,33.65952308,55.4138165,146.0233916,19.69204744,2.425670944,5.250589587,568.753416,21.90698667,66.73831993,93.65264683
V68,87.31974869,7.204870341,21.1727484,3.842115028,72.44972707,81.60210563,13.01309197,126.8777777,9.170432263,101.4830315,44.31381288,5.442529107
V69,78.59303245,1.948656748,31.23774832,16.28855958,91.11800491,27.58378769,53.17272569,31.17323054,2.952531971,42.43545046,126.032015,393.5987951
