,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96
V11,0.056697368,0.065150141,0.008077353,0.041369912,0.036424515,0.035021793,0.001307486,0.004387899,0.047671122,0.065062772,0.005692234,0.032956392,0.042936025,0.063336333,0.007027024,0.051640499,0.045481239,0.036425708,0.005727056,0.041081473,0.052126046,0.058515668,0.006262531,0.079124479,0.023935374,0.018567316,0.005187594,0.032386031,0.000772796,0.069236865,0.001106639,0.017327223,0.346500456,0.309472703,0.081013981,0.130921595,0.466145273,0.469270569,0.088123767,0.30344992,0.311014829,0.295972699,0.072550626,0.120246775,0.35801995,0.586747085,0.065379572,0.267666416,0.011878558,0.013681157,0.029765037,0.002238015,0.004837098,0.015240158,0.013362384,0.018131147,0.004311786,0.01436413,0.010919837,0.018655117,0.002393058,0.021068954,0.00497705,0.001642859,0.043214485,0.028494478,0.001322399,0.024790327,0.032940601,0.03724352,0.022196799,0.014167617,0.014638774,0.002860659,0.007065637,0.018995356,0.0364606,0.004947435,0.011665571,0.013704296,0.002791063,0.012129976,0.014187658,0.026205854,0.010646981,0.020217713,0.012412558,0.011220187,0.004507114,0.000939104,0.002538194,0.01043931,0.005797013,0.010527944,0.007868085,0.045019897
V12,0.00316766,0.002676308,0.000112168,0.00152354,0.002025504,0.001146117,0.000316787,0.001322203,0.002759018,0.00102241,0.000543964,0.002433147,0.003315253,0.001186209,0.00096694,0.009577962,0.004000967,0.002522336,0.00113,0.006366116,0.002750449,0.00058962,0.000303862,0.002484821,0.00101514,0.002925156,0.000315723,0.001548576,0.000479641,0.00250699,0.000537653,0.005005379,0.003706187,0.002201666,0.002181364,0.002835777,0.006647186,0.004154694,0.002645797,0.003642421,0.002082995,0.003719946,0.004764451,0.003325448,0.027410371,0.013033919,0.007482996,0.020514986,0.001408944,0.001402597,0.000297012,0.004568297,0.001053351,0.005171278,0.002326474,0.015214738,0.000558912,0.001257073,0.000334155,0.0024799,0.005550488,0.001688459,0.000752993,0.00720508,0.003915669,0.00197256,0.002145139,0.006565555,0.004350677,0.009714919,0.007999863,0.046991563,0.002132654,0.00229068,0.002707754,0.006364371,0.003105268,0.004641015,0.002951524,0.007734665,0.002443576,0.003979782,0.002020079,0.043933057,0.004105426,0.033712003,0.013709227,0.349359096,0.001633196,0.006973234,0.003347438,0.066227986,0.006640252,0.009332933,0.005230082,0.09367382
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
